"","X","number","variety","inoculant","salt","replicate","trial","shoots","total_abund","tot_mf","tot_16s","tot_its","tot_oom","rel_amf","rel_16s","rel_its","rel_oom","shoot_score","Microbial_Abundance_Score","bfr","log_bfr","log_tot_fun","all_bfr","log_all_bfr","FB","amfb","itsb","log_amf","log_its","log_16s","log_shoots","log_oom","amfoom"
"11",11,64,"A","SLK S","0 dS/m",4,2,3.8009,31619.28,2544.78,33416.8,12316.92,49.18,8.048190851,52.84244297,38.95382817,0.155538014,0.687224271,0.60735567,2.713080868,0.433462739,24.9016791399613,2.24851800265111,1.16897443492154,0.444737377606473,0.0761527136051327,0.368584664001341,7.84179948124027,9.4187292058323,10.4168140465177,1.33523788079494,3.89548703678805,0.0193258356321568
"12",12,65,"A","SLK S","0 dS/m",5,2,4.8187,26878.89,14050.81,22982.74,1312.8,23.91,52.27451729,42.75239789,4.88413026,0.088954566,0.871248282,0.514128719,17.50665753,1.243203236,24.1367971093906,1.49592055512995,0.581033559073506,0.668484697647017,0.611363571097267,0.0571211265497499,9.55043532434567,7.17991753977588,10.0424987784115,1.57250418214078,3.17429678147023,0.0017016812553867
"13",13,67,"A","SLK S","6 dS/m",2,2,2.7938,26612.35,6478.93,39302.12,384.01,98.35,24.3455764,73.84188168,1.442976663,0.369565258,0.505134881,0.508886806,102.3466056,2.010073443,21.2465399257248,5.72671770407435,2.51770848822469,0.174620096829382,0.164849377081949,0.00977071974743347,8.77631065225515,5.95066859391532,10.5790337404228,1.02740267631131,4.58853254483507,0.015179975705865
"14",14,68,"A","SLK S","6 dS/m",3,2,3.1848,30630.85,6459.45,45598.34,1145.98,226.25,21.08805338,74.43205135,3.741260853,0.738634416,0.575829898,0.587916697,39.78982181,1.599771994,22.8195617648923,5.9954979534359,2.58387958101544,0.166791817421424,0.141659762175553,0.0251320552458708,8.7732994538332,7.04401544511542,10.7276265913311,1.15838949270397,5.42164058258004,0.0350262019212162
"15",16,72,"A","SLK S","12 dS/m",2,2,0.6206,20888.15,3541.15,34042.96,270.82,54.7,16.95291349,81.48869096,1.296524585,0.261870965,0.112207999,0.396311742,125.7032715,2.099346581,19.8711927163256,8.93054247541297,3.15874781284009,0.111975280645396,0.104020038210543,0.0079552424348529,8.1722068121297,5.60145439355468,10.4353785354285,-0.477068526967857,4.00186370942794,0.0154469593211245
"16",17,73,"A","SLK S","12 dS/m",3,2,0.9832,12659.84,2337.23,19047.8,754.55,44.16,18.46176571,75.22922881,5.960185911,0.348819574,0.177768135,0.234489561,25.24392022,1.402156799,20.7500566905798,6.16078763689525,2.62311480663483,0.162316907989374,0.122703409317611,0.0396134986717626,7.75672174646989,6.62612154506456,9.85470688832157,-0.016942720730312,3.78781940196884,0.0188941610367829
"17",18,74,"A","SLK S","12 dS/m",4,2,1.4657,32684.78,6122.71,42494.44,5144.1,170.75,18.73260276,65.00646478,15.73851805,0.522414408,0.265006871,0.628310342,8.260811415,0.917022708,24.9086576098567,3.77164787548561,1.91519499096423,0.265136097804795,0.144082614101986,0.121053483702809,8.71976008795227,8.54560570585292,10.657128522825,0.382332944051118,5.1402004984509,0.027887977709217
"18",19,101,"A","SC S","0 dS/m",1,2,3.8765,41579.14,17426.92,26701.12,10450.65,351.01,41.91265139,32.10879301,25.13435824,0.844197355,0.70089318,0.803231405,2.554972179,0.407386175,27.4403350484996,0.957799406476246,-0.0622045533143273,1.04405994954519,0.652666255198284,0.391393694346904,9.76577141607227,9.2544194564155,10.1924607910741,1.35493268467688,5.86081471308852,0.0201418265534013
"19",20,102,"A","SC S","0 dS/m",2,2,3.4752,36401.42,10328.71,35292.82,8259.24,167.06,28.37447001,48.47725721,22.68933465,0.45893814,0.628335865,0.701403698,4.273131668,0.630746275,26.3461657784811,1.89869350842885,0.925007041055484,0.526677947525871,0.292657543375678,0.234020404150193,9.24268267532243,9.01908785259664,10.4714348227995,1.24565203131742,5.11835302932776,0.0161743334840459
"20",21,105,"A","SC S","0 dS/m",5,2,5.0645,44085.13,18152.06,45931.16,2700.95,266.54,41.17501752,52.09371051,6.126669015,0.604602958,0.915690316,0.852515495,17.0055573,1.230590869,25.5470968799571,2.2026153538506,1.13921757695286,0.454005733798145,0.39520142752763,0.0588043062705144,9.80653933187511,7.90135884195892,10.734899032825,1.62225541614471,5.58552432615158,0.0146837328655811
