number,variety,inoculant,salt,replicate,trial,shoots,total_abund,tot_mf,tot_16s,tot_its,tot_oom,rel_amf,rel_16s,rel_its,rel_oom,shoot_score,Microbial_Abundance_Score
53,A,NOK NS,S4,3,2,0.8512,15649.130000000001,1162.92,14197,254.59,34.62,7.431211830945235,90.720698211338259,1.626863602002156,0.2212263557143432,0.15390178636002025,NA
54,A,NOK NS,S4,4,2,0.8518,41469.84,16866.86,14617.19,9867.09,118.7,40.672594830363465,35.247760782293838,23.793412272629944,0.2862321147127648,0.15401026976205973,NA
55,A,NOK NS,S4,5,2,0.6036,22020.55,5586.68,14295.99,2020.73,117.15,25.37030183169812,64.921130489474606,9.176564618049959,0.5320030607773194,0.10913430245172488,NA
56,A,NOK NS,S5,1,2,0.3358,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06071454400810009,NA
57,A,NOK NS,S5,2,2,0.4198,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0759022202936284,NA
58,A,NOK NS,S5,3,2,0.4131,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07469082230418746,NA
59,A,NOK NS,S5,4,2,0.4589,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0829717219932017,NA
60,A,NOK NS,S5,5,2,0.2636,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04766037462934838,NA
61,A,SLK S,S1,1,2,3.6853,24399.359999999997,4697.12,18785.12,840.07,77.05,19.250996747455673,76.990216136816713,3.44300014426608,0.31578697146154655,0.6663231358935415,NA
62,A,SLK S,S1,2,2,2.9796,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5387285745280972,NA
63,A,SLK S,S1,3,2,3.6671,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6630324726983438,NA
64,A,SLK S,S1,4,2,3.8009,31619.28,2544.78,16708.400000000001,12316.92,49.18,8.048190850645556,52.842442965178215,38.95382817066043,0.1555380135158043,0.6872242713531496,NA
65,A,SLK S,S1,5,2,4.8187,26878.89,14050.81,11491.37,1312.8,23.91,52.27451728847434,42.75239788547816,4.884130259843319,0.08895456620418477,0.8712482823461343,NA
66,A,SLK S,S3,1,2,3.3074,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5979966731756707,NA
67,A,SLK S,S3,2,2,2.7938,26612.35,6478.93,19651.060000000001,384.01,98.35,24.345576395921444,73.841881682752557,1.4429766630906327,0.3695652582353682,0.5051348810298691,NA
68,A,SLK S,S3,3,2,3.1848,30630.85,6459.45,22799.17,1145.98,226.25,21.088053384088266,74.432051346926372,3.741260853028891,0.7386344159564623,0.575829898025602,NA
69,A,SLK S,S3,4,2,3.0053,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5433752802487886,NA
